Iripa-keyword,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2023 - September 30, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024
construcciones y servicios generales,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y servicios industriales,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcción civil santo tomás,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcción civil técnico,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcción civil umsa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcción de escaleras,EUR,10,0%,0%,Low,5,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
construcción de filtros para drenaje,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción de gaviones en ríos,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción de grandes obras,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción de infraestructura vial,EUR,10,∞,0%,Medium,43,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
construcción de muelles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
construcción de muelles con pilotes,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,0
construcción de obras públicas,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,0,10,10,0,10,0
construcción de túneles en obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción de vivienda unifamiliar,EUR,10,0%,∞,Medium,57,,,,,,,,0,0,0,10,0,0,0,10,10,10,0,10
construcción de viviendas familiares,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,10,0,0,10,10,0,0,0,0,0
construcción del oeste,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,0
construcción nueva,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,0
construcción obra,EUR,30,-33%,-50%,Medium,34,0.09,0.20,,,,,,20,30,20,50,30,20,40,30,30,30,20,20
construcción obra nueva,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcción quincho,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,30,10,10,10,10,10,10,10,0
construcción remodelación y mantenimiento,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
construcción servicios,EUR,10,0%,0%,High,69,0.13,0.26,,,,,,0,10,0,10,0,10,0,10,10,10,0,10
construcción sin permiso,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
construcción the line,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,0,0,0,0,0,0
construcción trabaja con nosotros,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción vivienda,EUR,10,0%,0%,Medium,62,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
construcción vivienda unifamiliar,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construccióncivil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructor civil egresado,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil ingeniero en construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil mineria,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil recien egresado,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil recien titulado,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil trainee,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor civil vespertino,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructor de obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora civil,EUR,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0
constructora de carreteras,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructora de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
constructora de proyectos y obra civil 2012 sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructora edificios,EUR,10,∞,∞,Medium,54,,,,,,,,0,10,0,0,0,10,0,10,10,0,10,10
constructora figueroa vial,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructora metropolitana reclamos,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora navarrete y diaz cumsille,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructora obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora obras viales,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora vial,EUR,20,0%,0%,Low,21,,,,,,,,10,40,10,30,10,20,10,10,10,10,10,10
constructora y comercializadora metropolitana,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora y proveedora fuentes,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructora y servicios,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
constructoras serviu,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construir obras civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construmar construcciones y contratas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
consultora construccion,EUR,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
consultora de construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,0,0,10,0,0,0,0,0
consultoria de obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
consultoria obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
consultoria y construcciones civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
consultoría de proyectos de construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
contratista de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,0,0
contratista de obra civil albañilería,EUR,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
contratista de obra de construcción,EUR,10,0%,0%,Medium,43,,,,,,,,10,10,0,10,10,10,10,0,0,10,10,10
contratista obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
control de costos en obras de construcción civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
control de obra civil,EUR,10,∞,∞,Medium,57,,,,,,,,0,0,0,0,10,10,0,0,0,0,0,10
coste construccion metro cuadrado,EUR,70,0%,-44%,Medium,34,0.03,0.22,,,,,,70,70,50,70,70,110,90,110,70,50,50,50
coste construcción m2,EUR,50,25%,-29%,Medium,34,0.03,0.18,,,,,,70,50,50,70,70,50,70,70,30,40,30,50
costes construccion 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
costos de construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
costos de construccion civil 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
costos de obra 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
costos de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
costos en construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
costos en obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
costos unitarios construccion,EUR,10,0%,∞,Low,14,,,,,,,,0,0,0,10,0,0,0,0,0,10,0,10
costos y presupuestos en la construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
costos y presupuestos en obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cotizacion de obras civiles,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,10,0,0
cotizacion obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cotizar construccion piscina,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
coyser construcciones y servicios sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
crn en edificación y obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
cye construcciones sa,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
dafre construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,10,10,0,0,0,0,0
dagresa vial construcciones srl,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,10,0,0,0
did construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
direccion de obras y construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
diseño de obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
diseños y construcciones civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
dominic construcciones civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
economía de la construcción,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,10
ecop construcciones,EUR,10,0%,∞,Low,0,,,,,,,,0,10,0,10,0,10,0,0,10,10,10,10
edificacion en seco,EUR,10,0%,∞,High,100,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
edificacion industrial,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,0,0,0,0,0,0,0,0
edificacion residencial,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
eiffage obras civiles marítimas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
eigo construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
emo construcciones,EUR,10,∞,∞,Low,29,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
empresa construccion civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
empresa constructora de obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
empresa constructora obra civil,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
empresa contratista construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
empresa de construccion y mantenimiento,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
empresa de construcciones civiles sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
empresa de construcción de carreteras,EUR,10,0%,∞,Low,0,,,,,,,,0,10,10,10,10,10,0,0,10,10,10,10
empresa de servicios de construcción,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
empresa obra civil,EUR,10,∞,∞,Medium,57,,,,,,,,0,10,10,0,0,0,10,10,0,0,0,10
empresas constructoras en las palmas de gran canaria,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
empresas de construccion remodelacion y mantenimiento,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
empresas de construcción buenos aires,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,10,0,10,10,0,10,10,0,10,0,0
en una construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,10,0,0,0,0
erki construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
espina construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
estimativa de cuotas del imss en la construcción de obras,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
eulogio viñal obras y construcciones sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
fechi construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
fg constructora civil sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
fomento construcción y contratas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
garrucho construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
general de construcciones civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
gestion de proyectos de obras civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,10,0,0,0,0,0,0
grupo de arquitectura y obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
gumac construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
gyc construcciones,EUR,10,∞,∞,Low,0,,,,,,,,10,10,0,10,10,10,0,0,10,0,0,10
gyc construcciones sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,10,0,10,0,0,0
gym ingeniería y construcción,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,0
hipermercado de la construccion,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
iguar construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
industrial de construcciones mexicanas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ing civil construccion,EUR,10,∞,0%,Low,0,,,,,,,,10,20,10,10,10,10,10,10,10,0,10,10
ing civil en obras civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
ing en obras civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,0,0,10,0
ingenieria civil construccion y gestion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingenieria civil montajes sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingenieria civil para constructores civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingenieria de obra,EUR,10,-100%,0%,Unknown,,,,,,,,,0,10,10,0,0,0,0,0,0,10,0,0
ingenieria de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0
ingenieria en construccion civil santo tomas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingenieria en construccion universidades,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ingeniero construcción,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,10,0,0,10,0,10,10,0,10,10,0
ingeniero constructor civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ingeniero constructor egresado,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniero constructor recien titulado,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniero constructor trainee,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniero de construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniero de edificacion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,0,0,0,0,0,0,0,0
ingeniero de la edificacion,EUR,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,10,0,0,10,0,0
ingeniero de obra,EUR,10,0%,0%,Low,32,,,,,,,,10,10,10,0,10,10,0,0,10,10,0,10
ingeniero edificacion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ingeniero en edificacion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
ingeniero en obra,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,0,0,10,10,10,10,10,10
ingeniero en topografia y construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniero industrial en obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ingeniero obras civiles,EUR,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,0,10,0,10,0,10,0,0
ingenieros de obras civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0
ingeniería civil en construcción universidades,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ingeniería y construcción de obra civil y eléctrica,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
instalaciones construccion,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,10,0,0,10,0,0,10
instalaciones de la construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
instalaciones en una construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,0
jarquil construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
jhl construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,0,0,0
jisor construcciones y servicios,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
jr mantenimiento y construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
jv construcciones civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
la construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
la obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
la obra revestimiento y construccion,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,0,0,0,10,0,0
la obra revestimientos y construcción,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,0,0,0,10,0,0
las construcciones,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,0,0,10,0,10,10,10,10,10
lopesan asfaltos y construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
lopez cao construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
m2 de construcción,EUR,40,33%,33%,Low,31,0.03,0.17,,,,,,50,50,50,40,50,40,50,50,30,30,30,40
m2 obras civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
maiolo construcciones y servicios,EUR,10,∞,0%,Low,0,,,,,,,,0,0,0,10,0,10,10,0,0,0,10,10
mantenimiento de construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mantenimiento de equipos de construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mantenimiento de trompo mezclador,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
mar edificacion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
maralto construcciones y servicios sociedad limitada,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
mario huertas construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
maruquesa construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
mcm construcciones y servicios,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mco construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mercadal arquitectura y construccion limitada,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
metro construcciones,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,10
metro de construcción terminado,EUR,10,0%,0%,Low,24,,,,,,,,10,10,0,0,10,10,0,10,10,10,10,10
metro lineal construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,0,0,10,0,0,0,0,0
mh construcciones y servicios,EUR,10,∞,0%,Low,29,,,,,,,,0,0,10,0,0,0,0,0,0,0,10,10
milicic construcciones y servicios,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,0,0,0,0,0
mirc construccion y mantenimiento,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
mogacon construcciones civiles,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
montajes y obra civil sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
mundo construcciones santa fe,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,10,10,0,10,0,0,0,10,0,0
murat construccion y mantenimiento,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
necesito constructor civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
niro construcciones sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obra civil construccion,EUR,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,10,10,0,0,10,0,10,0
obra civil de baja california,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obra civil de una empresa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obra civil electrica,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,10,0,0
obra civil industrial,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
obra civil inteligente,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obra civil menor,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
obra civil parque eolico,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obra civil planta fotovoltaica,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obra civil profesional sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obra civil y construcciones de un proyecto,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,10,0
obra civil y construcciones de una empresa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
obra civil y edificación,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obra civil y montajes task,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
obra gris construccion,EUR,10,∞,0%,Low,0,,,,,,,,10,10,0,10,10,10,10,10,0,0,10,10
obra gris steel framing,EUR,10,0%,0%,Low,10,,,,,,,,10,10,10,10,10,20,10,10,10,10,10,10
obra seca constructora,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,10,10,0
obra social de peluquerias estetica y afines,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0
obra social sac,EUR,10,0%,∞,Medium,43,,,,,,,,10,10,10,10,10,10,0,10,0,10,0,10
obras civiles de infraestructura,EUR,10,∞,∞,High,86,,,,,,,,0,10,0,0,0,0,10,10,0,0,0,10
obras civiles e hidraulicas,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
obras civiles electricas,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,10,0,0
obras civiles hidraulicas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obras civiles sa,EUR,10,0%,∞,Low,4,,,,,,,,10,10,10,10,10,10,0,0,0,10,10,10
obras de constructora,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obras de edificacion,EUR,10,∞,∞,Medium,43,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,10
obras de ing civil,EUR,10,∞,0%,Low,29,,,,,,,,0,10,10,10,10,10,10,10,10,0,10,10
obras de servicio,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
obras hidraulicas ingenieria civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obras previas construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obras provisionales en construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obras publicas municipal,EUR,10,0%,0%,Low,0,,,,,,,,10,0,0,10,10,10,0,0,10,10,10,10
obras públicas pdf,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
obras sanitarias san nicolas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obras y construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,10,10,10,0,10,0
obras y construcciones civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obras y construcciones civiles sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
obras y proyectos ingenieria sas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
oficina de proyectos de construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ordenes construcciones,EUR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
orler servicios y construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
permiso de edificacion obra nueva,EUR,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,10,0,0
permiso de obra nueva,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,0
permiso edificacion obra nueva,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
permiso obra nueva,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
pintura en obras de construcción,EUR,10,0%,0%,Low,0,,,,,,,,10,10,0,0,0,0,0,0,0,10,0,10
pintura industrial en construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
piscina de construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
